credito_id,cliente_id,producto_id,monto_aprobado,saldo_actual,dias_mora,fecha_desembolso
1,2407,45,6369,5721,10,2025-05-13 23:23:15.242552
2,3355,15,12289,4747,90,2025-09-11 23:23:15.242552
3,1377,2,4438,1660,0,2025-03-09 23:23:15.242552
4,5985,31,16946,3199,10,2025-05-03 23:23:15.242552
5,7256,22,6156,1776,10,2025-10-10 23:23:15.242552
6,9321,8,5446,2716,40,2026-01-20 23:23:15.242552
7,1247,2,2308,2145,90,2025-05-06 23:23:15.242552
8,7107,20,19069,7112,0,2025-03-09 23:23:15.242552
9,3180,8,18415,9730,0,2026-01-13 23:23:15.242552
10,9868,41,4810,2212,40,2026-01-18 23:23:15.242552
11,3178,8,17959,15793,40,2025-07-22 23:23:15.242552
12,548,17,19692,16495,20,2025-11-14 23:23:15.242552
13,4638,50,9193,2987,0,2025-11-15 23:23:15.242552
14,594,18,18144,1869,0,2025-11-15 23:23:15.242552
15,8736,38,3878,2961,0,2025-06-26 23:23:15.242552
16,2811,38,14633,11227,40,2025-11-07 23:23:15.242552
17,98,48,11461,9787,0,2026-02-25 23:23:15.242552
18,4817,31,5363,1627,40,2025-09-06 23:23:15.242552
19,7640,18,7004,6164,0,2025-09-02 23:23:15.242552
20,4151,18,15198,1837,20,2025-09-29 23:23:15.242552
21,7549,48,12713,1034,20,2025-04-29 23:23:15.242552
22,3773,31,12854,8088,0,2025-12-24 23:23:15.242552
23,9483,39,19373,4665,20,2025-12-06 23:23:15.242552
24,8331,3,10007,4560,0,2025-10-19 23:23:15.242552
25,8687,25,19571,1514,0,2025-10-29 23:23:15.242552
26,6766,32,17405,9980,0,2025-08-20 23:23:15.242552
27,3750,2,17382,1084,0,2025-05-28 23:23:15.242552
28,9162,21,14459,1124,0,2025-07-17 23:23:15.242552
29,3835,13,13427,4905,40,2025-12-19 23:23:15.242552
30,735,49,12194,5336,10,2025-04-22 23:23:15.242552
31,6836,19,19683,3312,0,2025-07-12 23:23:15.242552
32,783,9,2830,1203,0,2026-01-14 23:23:15.242552
33,7491,36,18003,17583,0,2025-11-24 23:23:15.242552
34,9391,43,11562,2290,90,2025-05-28 23:23:15.242552
35,4803,12,9562,1754,40,2025-03-14 23:23:15.242552
36,4524,41,11971,3996,20,2025-11-09 23:23:15.242552
37,7882,44,17637,11299,0,2025-12-13 23:23:15.242552
38,2245,15,2422,2365,10,2025-03-28 23:23:15.242552
39,3828,29,5827,1304,20,2025-03-17 23:23:15.242552
40,68,13,14711,14590,0,2025-12-31 23:23:15.242552
41,6237,45,13217,7951,90,2025-10-09 23:23:15.242552
42,3416,35,16034,5654,0,2025-03-06 23:23:15.242552
43,7110,10,15453,6724,90,2025-12-12 23:23:15.242552
44,1362,1,8492,2384,10,2025-04-17 23:23:15.242552
45,8423,33,2182,67,0,2025-08-24 23:23:15.242552
46,8168,44,5092,2118,10,2025-10-30 23:23:15.242552
47,3214,28,16875,9830,90,2025-08-01 23:23:15.242552
48,7965,24,9700,3432,10,2026-01-10 23:23:15.242552
49,7630,34,19612,10688,0,2025-05-14 23:23:15.242552
50,3450,27,1472,1103,90,2025-05-13 23:23:15.242552
51,7399,5,12714,12330,0,2025-10-03 23:23:15.242552
52,7382,11,1793,1255,0,2025-06-18 23:23:15.242552
53,8885,43,8274,7218,20,2025-04-23 23:23:15.242552
54,988,1,1595,874,40,2026-01-19 23:23:15.242552
55,3610,48,16706,8551,0,2025-12-18 23:23:15.242552
56,3579,14,6661,2833,40,2025-08-27 23:23:15.242552
57,1251,36,16606,15113,0,2026-03-05 23:23:15.242552
58,7508,50,4380,1269,0,2026-02-27 23:23:15.242552
59,1818,39,19471,18162,20,2026-02-05 23:23:15.242552
60,9207,26,4650,768,40,2025-06-23 23:23:15.242552
61,7805,42,9304,7133,20,2025-10-20 23:23:15.242552
62,4953,19,11500,4904,0,2025-06-21 23:23:15.242552
63,8052,24,18869,5238,40,2025-12-01 23:23:15.242552
64,815,21,7710,922,0,2025-08-03 23:23:15.242552
65,7740,49,9299,7066,0,2026-01-25 23:23:15.242552
66,3204,34,13112,11452,0,2025-05-22 23:23:15.242552
67,8471,41,17551,14361,10,2025-10-30 23:23:15.242552
68,236,28,1701,1516,10,2025-10-06 23:23:15.242552
69,6703,20,5396,2483,0,2025-12-28 23:23:15.242552
70,138,14,6827,5835,40,2025-06-24 23:23:15.242552
71,6958,44,19091,2920,40,2025-08-31 23:23:15.242552
72,121,6,10439,3075,20,2025-06-29 23:23:15.242552
73,4280,48,13445,1480,20,2025-06-07 23:23:15.242552
74,5319,50,15621,10913,10,2026-02-10 23:23:15.242552
75,1869,24,14268,11177,10,2025-04-08 23:23:15.242552
76,7193,19,3976,2555,0,2025-04-20 23:23:15.242552
77,4035,7,12021,1896,0,2025-04-14 23:23:15.242552
78,1069,17,4576,1836,20,2025-08-08 23:23:15.242552
79,2238,1,2511,1249,10,2025-05-30 23:23:15.242552
80,5294,3,17582,14556,0,2025-08-02 23:23:15.242552
81,8335,40,12229,9605,0,2025-06-06 23:23:15.242552
82,2310,42,12223,10672,40,2025-10-15 23:23:15.242552
83,8812,26,8617,4623,20,2025-11-29 23:23:15.242552
84,1434,6,4325,964,20,2025-03-10 23:23:15.242552
85,5916,23,3509,822,90,2025-06-16 23:23:15.242552
86,3033,10,12110,10505,20,2026-01-11 23:23:15.242552
87,7041,45,10007,8638,0,2025-06-15 23:23:15.242552
88,8775,15,18666,16241,40,2025-03-20 23:23:15.242552
89,1562,10,17827,14454,90,2025-11-02 23:23:15.242552
90,5465,50,5904,5004,40,2025-03-28 23:23:15.242552
91,7921,15,6410,2350,10,2026-01-22 23:23:15.242552
92,8411,44,7200,2010,10,2025-12-05 23:23:15.242552
93,4729,31,5420,3254,20,2025-12-14 23:23:15.242552
94,9963,2,2900,1102,10,2025-08-23 23:23:15.242552
95,3908,26,10556,5588,0,2025-12-11 23:23:15.242552
96,7099,27,17139,16311,0,2026-01-29 23:23:15.242552
97,2809,49,6100,1885,0,2025-12-31 23:23:15.242552
98,2809,17,14561,4094,90,2025-11-01 23:23:15.242552
99,8434,44,3653,2722,40,2025-04-30 23:23:15.242552
100,5770,37,17042,6822,0,2025-08-10 23:23:15.242552
101,455,19,12802,12116,40,2026-01-13 23:23:15.242552
102,8482,26,10854,5908,10,2025-05-04 23:23:15.242552
103,1141,42,14712,12691,40,2025-03-13 23:23:15.242552
104,983,6,8448,1526,0,2025-05-30 23:23:15.242552
105,631,48,11453,5080,90,2026-01-29 23:23:15.242552
106,91,9,11208,3434,40,2026-03-06 23:23:15.242552
107,7554,10,13593,1979,10,2026-03-01 23:23:15.242552
108,4399,18,11554,8938,0,2025-08-04 23:23:15.242552
109,5378,6,14433,2741,0,2025-07-06 23:23:15.242552
110,9335,7,16315,2073,40,2025-08-16 23:23:15.242552
111,6094,42,2279,1702,20,2025-12-15 23:23:15.242552
112,1543,14,17273,15128,0,2025-09-27 23:23:15.242552
113,641,7,14916,2197,0,2025-04-22 23:23:15.242552
114,5212,43,2978,1534,0,2025-10-03 23:23:15.242552
115,6334,50,7196,3168,0,2025-12-10 23:23:15.242552
116,4857,38,13977,11346,0,2025-07-13 23:23:15.242552
117,1702,13,18922,18326,20,2025-12-30 23:23:15.242552
118,2214,16,4864,3428,40,2025-04-30 23:23:15.242552
119,9646,11,6432,460,0,2025-11-15 23:23:15.242552
120,5330,10,2026,1350,40,2025-03-16 23:23:15.242552
121,6591,35,13416,12930,40,2025-03-30 23:23:15.242552
122,2119,2,11530,3918,90,2025-03-26 23:23:15.242552
123,159,13,9417,5518,0,2025-12-02 23:23:15.242552
124,6849,29,7513,4245,0,2025-11-04 23:23:15.242552
125,6791,11,17499,10906,20,2025-08-08 23:23:15.242552
126,4398,44,19193,4905,90,2025-09-21 23:23:15.242552
127,2827,16,14374,10666,10,2025-07-17 23:23:15.242552
128,281,17,17180,4323,40,2025-04-04 23:23:15.242552
129,3200,23,6161,326,0,2026-02-01 23:23:15.242552
130,3751,15,9753,3665,90,2025-04-17 23:23:15.242552
131,1336,25,9755,5273,0,2025-06-08 23:23:15.242552
132,9078,50,12903,4475,0,2025-03-28 23:23:15.242552
133,7440,7,15630,12050,40,2025-12-30 23:23:15.242552
134,4295,25,1134,89,0,2025-04-03 23:23:15.242552
135,6290,38,4393,4295,0,2025-04-11 23:23:15.242552
136,2897,20,2814,1631,40,2025-05-21 23:23:15.242552
137,2893,12,7610,4545,90,2025-11-18 23:23:15.242552
138,8340,49,11977,11151,20,2026-02-08 23:23:15.242552
139,3303,21,14457,7095,0,2025-05-20 23:23:15.242552
140,7963,37,12552,10247,10,2025-10-25 23:23:15.242552
141,8224,46,2705,2075,0,2025-08-03 23:23:15.242552
142,1739,18,17671,8589,40,2025-06-02 23:23:15.242552
143,5094,5,1165,740,40,2025-08-16 23:23:15.242552
144,8605,19,7199,6201,40,2025-06-20 23:23:15.242552
145,6470,23,3078,84,20,2025-05-17 23:23:15.242552
146,8697,42,7584,5921,10,2025-07-18 23:23:15.242552
147,2676,42,5133,4875,10,2025-09-10 23:23:15.242552
148,3249,18,1733,298,40,2025-10-31 23:23:15.242552
149,8862,33,10502,9900,0,2025-08-06 23:23:15.242552
150,1164,14,11599,2668,90,2025-04-13 23:23:15.242552
151,6186,4,9201,5792,20,2025-05-13 23:23:15.242552
152,4363,19,13278,32,10,2026-01-04 23:23:15.242552
153,7645,19,18133,17298,10,2025-12-09 23:23:15.242552
154,8524,4,1315,842,0,2026-02-02 23:23:15.242552
155,5048,32,6655,765,40,2025-04-25 23:23:15.242552
156,6374,39,13878,8627,0,2025-05-10 23:23:15.242552
